Module,Area,FeatureName,RoutePath,HttpMethod,ControllerClass,ControllerMethod,Category,Status,Description,IsUIPage,IsCronEndpoint,IsApiEndpoint,MenuLocation,Notes
APIs,Alerts,Alerts – Add Trade Alert,/API/Alerts/addTradeAlert,GET|POST,App\Modules\APIs\Controllers\AlertsController,addTradeAlert,API / Backend,active,"Handles GET and POST requests to `/API/Alerts/addTradeAlert` via App\Modules\APIs\Controllers\AlertsController::addTradeAlert, providing backend data/services for Alerts consumers.",false,false,true,APIs > Alerts,
APIs,Alerts,Alerts – Backfill Categories,/API/Alerts/backfillCategories,GET|POST,App\Modules\APIs\Controllers\AlertsController,backfillCategories,API / Backend,active,"Handles GET and POST requests to `/API/Alerts/backfillCategories` via App\Modules\APIs\Controllers\AlertsController::backfillCategories, providing backend data/services for Alerts consumers.",false,false,true,APIs > Alerts,
APIs,Alerts,Alerts – Add Trade Alert,/API/Alerts/createTradeAlert,GET|POST,App\Modules\APIs\Controllers\AlertsController,addTradeAlert,API / Backend,active,"Handles GET and POST requests to `/API/Alerts/createTradeAlert` via App\Modules\APIs\Controllers\AlertsController::addTradeAlert, providing backend data/services for Alerts consumers.",false,false,true,APIs > Alerts,
APIs,Alerts,Alerts – Add Trade Alert,/API/Alerts/createTradeAlert/(:segment),GET|POST,App\Modules\APIs\Controllers\AlertsController,addTradeAlert,API / Backend,active,"Handles GET and POST requests to `/API/Alerts/createTradeAlert/(:segment)` via App\Modules\APIs\Controllers\AlertsController::addTradeAlert, providing backend data/services for Alerts consumers.",false,false,true,APIs > Alerts,
APIs,Alerts,Alerts – Fetch Auto Generated Analysis,/API/Alerts/fetchAutoGeneratedAnalysis,GET|POST,App\Modules\APIs\Controllers\AlertsController,fetchAutoGeneratedAnalysis,API / Backend,active,"Handles GET and POST requests to `/API/Alerts/fetchAutoGeneratedAnalysis` via App\Modules\APIs\Controllers\AlertsController::fetchAutoGeneratedAnalysis, providing backend data/services for Alerts consumers.",false,false,true,APIs > Alerts,
APIs,Alerts,Alerts – Fetch Email Alerts,/API/Alerts/fetchEmailAlerts,GET|POST,App\Modules\APIs\Controllers\AlertsController,fetchEmailAlerts,API / Backend,active,"Handles GET and POST requests to `/API/Alerts/fetchEmailAlerts` via App\Modules\APIs\Controllers\AlertsController::fetchEmailAlerts, providing backend data/services for Alerts consumers.",false,false,true,APIs > Alerts,
APIs,Alerts,Alerts – Fetch Market Aux News,/API/Alerts/fetchMarketAuxNews/(:segment),GET|POST,App\Modules\APIs\Controllers\AlertsController,fetchMarketAuxNews,API / Backend,active,"Handles GET and POST requests to `/API/Alerts/fetchMarketAuxNews/(:segment)` via App\Modules\APIs\Controllers\AlertsController::fetchMarketAuxNews, providing backend data/services for Alerts consumers.",false,false,true,APIs > Alerts,
APIs,Alerts,Alerts – Force Fetch Emails,/API/Alerts/forceFetchEmails,GET|POST,App\Modules\APIs\Controllers\AlertsController,forceFetchEmails,API / Backend,active,"Handles GET and POST requests to `/API/Alerts/forceFetchEmails` via App\Modules\APIs\Controllers\AlertsController::forceFetchEmails, providing backend data/services for Alerts consumers.",false,false,true,APIs > Alerts,
APIs,Alerts,Alerts – Force Fetch Tickers,/API/Alerts/forceFetchTickers,GET|POST,App\Modules\APIs\Controllers\AlertsController,forceFetchTickers,API / Backend,active,"Handles GET and POST requests to `/API/Alerts/forceFetchTickers` via App\Modules\APIs\Controllers\AlertsController::forceFetchTickers, providing backend data/services for Alerts consumers.",false,false,true,APIs > Alerts,
APIs,Alerts,Alerts – Gen Keys,/API/Alerts/gen-keys,GET|POST,App\Modules\APIs\Controllers\AlertsController,genKeys,API / Backend,active,"Handles GET and POST requests to `/API/Alerts/gen-keys` via App\Modules\APIs\Controllers\AlertsController::genKeys, providing backend data/services for Alerts consumers.",false,false,true,APIs > Alerts,
APIs,Alerts,Alerts – Generate And Store Voiceover,/API/Alerts/generateAndStoreVoiceover,GET|POST,App\Modules\APIs\Controllers\AlertsController,generateAndStoreVoiceover,API / Backend,active,"Handles GET and POST requests to `/API/Alerts/generateAndStoreVoiceover` via App\Modules\APIs\Controllers\AlertsController::generateAndStoreVoiceover, providing backend data/services for Alerts consumers.",false,false,true,APIs > Alerts,
APIs,Alerts,Alerts – Generate Now,/API/Alerts/generateNow,GET|POST,App\Modules\APIs\Controllers\AlertsController,generateNow,API / Backend,active,"Handles GET and POST requests to `/API/Alerts/generateNow` via App\Modules\APIs\Controllers\AlertsController::generateNow, providing backend data/services for Alerts consumers.",false,false,true,APIs > Alerts,
APIs,Alerts,Alerts – Generate Social Media Posts,/API/Alerts/generateSocialMediaPosts,GET|POST,App\Modules\APIs\Controllers\AlertsController,generateSocialMediaPosts,API / Backend,active,"Handles GET and POST requests to `/API/Alerts/generateSocialMediaPosts` via App\Modules\APIs\Controllers\AlertsController::generateSocialMediaPosts, providing backend data/services for Alerts consumers.",false,false,true,APIs > Alerts,
APIs,Alerts,Alerts – Generate Trade Alert Summary,/API/Alerts/generateTradeAlertSummary,GET|POST,App\Modules\APIs\Controllers\AlertsController,generateTradeAlertSummary,API / Backend,active,"Handles GET and POST requests to `/API/Alerts/generateTradeAlertSummary` via App\Modules\APIs\Controllers\AlertsController::generateTradeAlertSummary, providing backend data/services for Alerts consumers.",false,false,true,APIs > Alerts,
APIs,Alerts,Alerts – Generate Voiceover And Marketing Content,/API/Alerts/generateVoiceoverAndMarketingContent,GET|POST,App\Modules\APIs\Controllers\AlertsController,generateVoiceoverAndMarketingContent,API / Backend,active,"Handles GET and POST requests to `/API/Alerts/generateVoiceoverAndMarketingContent` via App\Modules\APIs\Controllers\AlertsController::generateVoiceoverAndMarketingContent, providing backend data/services for Alerts consumers.",false,false,true,APIs > Alerts,
APIs,Alerts,Alerts – Generate Voiceover Script,/API/Alerts/generateVoiceoverScript,GET|POST,App\Modules\APIs\Controllers\AlertsController,generateVoiceoverScript,API / Backend,active,"Handles GET and POST requests to `/API/Alerts/generateVoiceoverScript` via App\Modules\APIs\Controllers\AlertsController::generateVoiceoverScript, providing backend data/services for Alerts consumers.",false,false,true,APIs > Alerts,
APIs,Alerts,Alerts – Get Ema Comparison,/API/Alerts/getEmaComparison/(:segment),GET|POST,App\Modules\APIs\Controllers\AlertsController,getEmaComparison,API / Backend,active,"Handles GET and POST requests to `/API/Alerts/getEmaComparison/(:segment)` via App\Modules\APIs\Controllers\AlertsController::getEmaComparison, providing backend data/services for Alerts consumers.",false,false,true,APIs > Alerts,
APIs,Alerts,Alerts – Get Filtered Alerts,/API/Alerts/getFilteredAlerts,GET|POST,App\Modules\APIs\Controllers\AlertsController,getFilteredAlerts,API / Backend,active,"Handles GET and POST requests to `/API/Alerts/getFilteredAlerts` via App\Modules\APIs\Controllers\AlertsController::getFilteredAlerts, providing backend data/services for Alerts consumers.",false,false,true,APIs > Alerts,
APIs,Alerts,Alerts – Get Full Metrics,/API/Alerts/getFullMetrics,GET|POST,App\Modules\APIs\Controllers\AlertsController,getFullMetrics,API / Backend,active,"Handles GET and POST requests to `/API/Alerts/getFullMetrics` via App\Modules\APIs\Controllers\AlertsController::getFullMetrics, providing backend data/services for Alerts consumers.",false,false,true,APIs > Alerts,
APIs,Alerts,Alerts – Get Latest Prices,/API/Alerts/getLatestPrices,GET|POST,App\Modules\APIs\Controllers\AlertsController,getLatestPrices,API / Backend,active,"Handles GET and POST requests to `/API/Alerts/getLatestPrices` via App\Modules\APIs\Controllers\AlertsController::getLatestPrices, providing backend data/services for Alerts consumers.",false,false,true,APIs > Alerts,
APIs,Alerts,Alerts – Get Technical Indicators,/API/Alerts/getTechnicalIndicators,GET|POST,App\Modules\APIs\Controllers\AlertsController,getTechnicalIndicators,API / Backend,active,"Handles GET and POST requests to `/API/Alerts/getTechnicalIndicators` via App\Modules\APIs\Controllers\AlertsController::getTechnicalIndicators, providing backend data/services for Alerts consumers.",false,false,true,APIs > Alerts,
APIs,Alerts,Alerts – Get Trade Alert Details,/API/Alerts/getTradeAlertDetails,GET|POST,App\Modules\APIs\Controllers\AlertsController,getTradeAlertDetails,API / Backend,active,"Handles GET and POST requests to `/API/Alerts/getTradeAlertDetails` via App\Modules\APIs\Controllers\AlertsController::getTradeAlertDetails, providing backend data/services for Alerts consumers.",false,false,true,APIs > Alerts,
APIs,Alerts,Alerts – Hide Trade Alert,/API/Alerts/hideTradeAlert,GET|POST,App\Modules\APIs\Controllers\AlertsController,hideTradeAlert,API / Backend,active,"Handles GET and POST requests to `/API/Alerts/hideTradeAlert` via App\Modules\APIs\Controllers\AlertsController::hideTradeAlert, providing backend data/services for Alerts consumers.",false,false,true,APIs > Alerts,
APIs,Alerts,Alerts – Manage Trade Alert,/API/Alerts/manageTradeAlert,GET|POST,App\Modules\APIs\Controllers\AlertsController,manageTradeAlert,API / Backend,active,"Handles GET and POST requests to `/API/Alerts/manageTradeAlert` via App\Modules\APIs\Controllers\AlertsController::manageTradeAlert, providing backend data/services for Alerts consumers.",false,false,true,APIs > Alerts,
APIs,Alerts,Alerts – Mark Alert As Sent And Send Email,/API/Alerts/markAlertAsSentAndSendEmail/(:segment),GET|POST,App\Modules\APIs\Controllers\AlertsController,markAlertAsSentAndSendEmail,API / Backend,active,"Handles GET and POST requests to `/API/Alerts/markAlertAsSentAndSendEmail/(:segment)` via App\Modules\APIs\Controllers\AlertsController::markAlertAsSentAndSendEmail, providing backend data/services for Alerts consumers.",false,false,true,APIs > Alerts,
APIs,Alerts,Alerts – Post Marketing Content To Socials,/API/Alerts/postMarketingContentToSocials,GET|POST,App\Modules\APIs\Controllers\AlertsController,postMarketingContentToSocials,API / Backend,active,"Handles GET and POST requests to `/API/Alerts/postMarketingContentToSocials` via App\Modules\APIs\Controllers\AlertsController::postMarketingContentToSocials, providing backend data/services for Alerts consumers.",false,false,true,APIs > Alerts,
APIs,Alerts,Alerts – Process Alerts,/API/Alerts/processAlerts,GET|POST,App\Modules\APIs\Controllers\AlertsController,processAlerts,API / Backend,active,"Handles GET and POST requests to `/API/Alerts/processAlerts` via App\Modules\APIs\Controllers\AlertsController::processAlerts, providing backend data/services for Alerts consumers.",false,false,true,APIs > Alerts,
APIs,Alerts,Alerts – Process Email Alerts,/API/Alerts/processEmailAlerts,GET|POST,App\Modules\APIs\Controllers\AlertsController,processEmailAlerts,API / Backend,active,"Handles GET and POST requests to `/API/Alerts/processEmailAlerts` via App\Modules\APIs\Controllers\AlertsController::processEmailAlerts, providing backend data/services for Alerts consumers.",false,false,true,APIs > Alerts,
APIs,Alerts,Alerts – Process Trade Alerts,/API/Alerts/processTradeAlerts,GET|POST,App\Modules\APIs\Controllers\AlertsController,processTradeAlerts,API / Backend,active,"Handles GET and POST requests to `/API/Alerts/processTradeAlerts` via App\Modules\APIs\Controllers\AlertsController::processTradeAlerts, providing backend data/services for Alerts consumers.",false,false,true,APIs > Alerts,
APIs,Alerts,Alerts – Process Trade Batch,/API/Alerts/processTradeBatch,GET|POST,App\Modules\APIs\Controllers\AlertsController,processTradeBatch,API / Backend,active,"Handles GET and POST requests to `/API/Alerts/processTradeBatch` via App\Modules\APIs\Controllers\AlertsController::processTradeBatch, providing backend data/services for Alerts consumers.",false,false,true,APIs > Alerts,
APIs,Alerts,Alerts – Send Alert,/API/Alerts/sendAlert,GET|POST,App\Modules\APIs\Controllers\AlertsController,sendAlert,API / Backend,active,"Handles GET and POST requests to `/API/Alerts/sendAlert` via App\Modules\APIs\Controllers\AlertsController::sendAlert, providing backend data/services for Alerts consumers.",false,false,true,APIs > Alerts,
APIs,Alerts,Alerts – Send Discord Alerts,/API/Alerts/sendDiscordAlerts,GET|POST,App\Modules\APIs\Controllers\AlertsController,sendDiscordAlerts,API / Backend,active,"Handles GET and POST requests to `/API/Alerts/sendDiscordAlerts` via App\Modules\APIs\Controllers\AlertsController::sendDiscordAlerts, providing backend data/services for Alerts consumers.",false,false,true,APIs > Alerts,
APIs,Alerts,Alerts – Send Discord Alerts By Symbol,/API/Alerts/sendDiscordAlertsBySymbol/(:segment),GET|POST,App\Modules\APIs\Controllers\AlertsController,sendDiscordAlertsBySymbol,API / Backend,active,"Handles GET and POST requests to `/API/Alerts/sendDiscordAlertsBySymbol/(:segment)` via App\Modules\APIs\Controllers\AlertsController::sendDiscordAlertsBySymbol, providing backend data/services for Alerts consumers.",false,false,true,APIs > Alerts,
APIs,Alerts,Alerts – Sign,/API/Alerts/sign,GET|POST,App\Modules\APIs\Controllers\AlertsController,sign,API / Backend,active,"Handles GET and POST requests to `/API/Alerts/sign` via App\Modules\APIs\Controllers\AlertsController::sign, providing backend data/services for Alerts consumers.",false,false,true,APIs > Alerts,
APIs,Alerts,Alerts – Store Marketing Content,/API/Alerts/storeMarketingContent,GET|POST,App\Modules\APIs\Controllers\AlertsController,storeMarketingContent,API / Backend,active,"Handles GET and POST requests to `/API/Alerts/storeMarketingContent` via App\Modules\APIs\Controllers\AlertsController::storeMarketingContent, providing backend data/services for Alerts consumers.",false,false,true,APIs > Alerts,
APIs,Alerts,Alerts – Submit Trade Alert,/API/Alerts/submitTradeAlert,GET|POST,App\Modules\APIs\Controllers\AlertsController,submitTradeAlert,API / Backend,active,"Handles GET and POST requests to `/API/Alerts/submitTradeAlert` via App\Modules\APIs\Controllers\AlertsController::submitTradeAlert, providing backend data/services for Alerts consumers.",false,false,true,APIs > Alerts,
APIs,Alerts,Alerts – Update Batch Prices,/API/Alerts/updateBatchPrices,GET|POST,App\Modules\APIs\Controllers\AlertsController,updateBatchPrices,API / Backend,active,"Handles GET and POST requests to `/API/Alerts/updateBatchPrices` via App\Modules\APIs\Controllers\AlertsController::updateBatchPrices, providing backend data/services for Alerts consumers.",false,false,true,APIs > Alerts,
APIs,Alerts,Alerts – Update Chart Override,/API/Alerts/updateChartOverride,GET|POST,App\Modules\APIs\Controllers\AlertsController,updateChartOverride,API / Backend,active,"Handles GET and POST requests to `/API/Alerts/updateChartOverride` via App\Modules\APIs\Controllers\AlertsController::updateChartOverride, providing backend data/services for Alerts consumers.",false,false,true,APIs > Alerts,
APIs,Alerts,Alerts – Update Exchange,/API/Alerts/updateExchange,GET|POST,App\Modules\APIs\Controllers\AlertsController,updateExchange,API / Backend,active,"Handles GET and POST requests to `/API/Alerts/updateExchange` via App\Modules\APIs\Controllers\AlertsController::updateExchange, providing backend data/services for Alerts consumers.",false,false,true,APIs > Alerts,
APIs,Alerts,Alerts – Update Status,/API/Alerts/updateStatus/(:num)/(:any),GET|POST,App\Modules\APIs\Controllers\AlertsController,updateStatus,API / Backend,active,"Handles GET and POST requests to `/API/Alerts/updateStatus/(:num)/(:any)` via App\Modules\APIs\Controllers\AlertsController::updateStatus, providing backend data/services for Alerts consumers.",false,false,true,APIs > Alerts,
APIs,Alerts,Alerts – Update Trade Alerts,/API/Alerts/updateTradeAlerts,GET|POST,App\Modules\APIs\Controllers\AlertsController,updateTradeAlerts,API / Backend,active,"Handles GET and POST requests to `/API/Alerts/updateTradeAlerts` via App\Modules\APIs\Controllers\AlertsController::updateTradeAlerts, providing backend data/services for Alerts consumers.",false,false,true,APIs > Alerts,
APIs,Auctions,Auctions – Refund Escrow,/API/Auctions/escrow/refund/(:num),POST,App\Modules\APIs\Controllers\AuctionsController,refundEscrow,API / Backend,active,"Handles POST requests to `/API/Auctions/escrow/refund/(:num)` via App\Modules\APIs\Controllers\AuctionsController::refundEscrow, providing backend data/services for Auctions consumers.",false,false,true,APIs > Auctions,
APIs,Auctions,Auctions – Release Escrow,/API/Auctions/escrow/release/(:num),POST,App\Modules\APIs\Controllers\AuctionsController,releaseEscrow,API / Backend,active,"Handles POST requests to `/API/Auctions/escrow/release/(:num)` via App\Modules\APIs\Controllers\AuctionsController::releaseEscrow, providing backend data/services for Auctions consumers.",false,false,true,APIs > Auctions,
APIs,Auctions,Auctions – Compute Fmv,/API/Auctions/fmv,POST,App\Modules\APIs\Controllers\AuctionsController,computeFMV,API / Backend,active,"Handles POST requests to `/API/Auctions/fmv` via App\Modules\APIs\Controllers\AuctionsController::computeFMV, providing backend data/services for Auctions consumers.",false,false,true,APIs > Auctions,
APIs,Auctions,Auctions – Settle,/API/Auctions/settle/(:num),POST,App\Modules\APIs\Controllers\AuctionsController,settle,API / Backend,active,"Handles POST requests to `/API/Auctions/settle/(:num)` via App\Modules\APIs\Controllers\AuctionsController::settle, providing backend data/services for Auctions consumers.",false,false,true,APIs > Auctions,
APIs,Auctions,Auctions – Top Up,/API/Auctions/topup,POST,App\Modules\APIs\Controllers\AuctionsController,topUp,API / Backend,active,"Handles POST requests to `/API/Auctions/topup` via App\Modules\APIs\Controllers\AuctionsController::topUp, providing backend data/services for Auctions consumers.",false,false,true,APIs > Auctions,
APIs,Bitcoin,Bitcoin – Broadcast Signed Tx,/API/Bitcoin/broadcastSignedTx,POST,App\Modules\APIs\Controllers\BitcoinController,broadcastSignedTx,API / Backend,active,"Handles POST requests to `/API/Bitcoin/broadcastSignedTx` via App\Modules\APIs\Controllers\BitcoinController::broadcastSignedTx, providing backend data/services for Bitcoin consumers.",false,false,true,APIs > Bitcoin,
APIs,Bitcoin,Bitcoin – Build Unsigned Psbt,/API/Bitcoin/buildUnsignedPsbt,POST,App\Modules\APIs\Controllers\BitcoinController,buildUnsignedPsbt,API / Backend,active,"Handles POST requests to `/API/Bitcoin/buildUnsignedPsbt` via App\Modules\APIs\Controllers\BitcoinController::buildUnsignedPsbt, providing backend data/services for Bitcoin consumers.",false,false,true,APIs > Bitcoin,
APIs,Broker,Broker – Add Linked Account,/API/Broker/add-linked-account,GET,App\Modules\APIs\Controllers\BrokerController,addLinkedAccount,API / Backend,active,"Handles GET requests to `/API/Broker/add-linked-account` via App\Modules\APIs\Controllers\BrokerController::addLinkedAccount, providing backend data/services for Broker consumers.",false,false,true,APIs > Broker,
APIs,Broker,Broker – Available,/API/Broker/available,GET,App\Modules\APIs\Controllers\BrokerController,available,API / Backend,active,"Handles GET requests to `/API/Broker/available` via App\Modules\APIs\Controllers\BrokerController::available, providing backend data/services for Broker consumers.",false,false,true,APIs > Broker,
APIs,Broker,Broker – Categories,/API/Broker/categories,GET,App\Modules\APIs\Controllers\BrokerController,categories,API / Backend,active,"Handles GET requests to `/API/Broker/categories` via App\Modules\APIs\Controllers\BrokerController::categories, providing backend data/services for Broker consumers.",false,false,true,APIs > Broker,
APIs,Broker,Broker – Credit,/API/Broker/credit,GET,App\Modules\APIs\Controllers\BrokerController,credit,API / Backend,active,"Handles GET requests to `/API/Broker/credit` via App\Modules\APIs\Controllers\BrokerController::credit, providing backend data/services for Broker consumers.",false,false,true,APIs > Broker,
APIs,Broker,Broker – Fetch Plaid Accounts,/API/Broker/fetchPlaidAccounts,GET,App\Modules\APIs\Controllers\BrokerController,fetchPlaidAccounts,API / Backend,active,"Handles GET requests to `/API/Broker/fetchPlaidAccounts` via App\Modules\APIs\Controllers\BrokerController::fetchPlaidAccounts, providing backend data/services for Broker consumers.",false,false,true,APIs > Broker,
APIs,Broker,Broker – Fetch Plaid Accounts,/API/Broker/fetchPlaidAccounts/(:segment),GET,App\Modules\APIs\Controllers\BrokerController,fetchPlaidAccounts,API / Backend,active,"Handles GET requests to `/API/Broker/fetchPlaidAccounts/(:segment)` via App\Modules\APIs\Controllers\BrokerController::fetchPlaidAccounts, providing backend data/services for Broker consumers.",false,false,true,APIs > Broker,
APIs,Broker,Broker – Fetch Plaid Balances,/API/Broker/fetchPlaidBalances,GET,App\Modules\APIs\Controllers\BrokerController,fetchPlaidBalances,API / Backend,active,"Handles GET requests to `/API/Broker/fetchPlaidBalances` via App\Modules\APIs\Controllers\BrokerController::fetchPlaidBalances, providing backend data/services for Broker consumers.",false,false,true,APIs > Broker,
APIs,Broker,Broker – Fetch Plaid Balances,/API/Broker/fetchPlaidBalances,GET,App\Modules\APIs\Controllers\BrokerController,fetchPlaidBalances,API / Backend,active,"Handles GET requests to `/API/Broker/fetchPlaidBalances` via App\Modules\APIs\Controllers\BrokerController::fetchPlaidBalances, providing backend data/services for Broker consumers.",false,false,true,APIs > Broker,
APIs,Broker,Broker – Fetch Plaid Balances,/API/Broker/fetchPlaidBalances/(:segment),GET,App\Modules\APIs\Controllers\BrokerController,fetchPlaidBalances,API / Backend,active,"Handles GET requests to `/API/Broker/fetchPlaidBalances/(:segment)` via App\Modules\APIs\Controllers\BrokerController::fetchPlaidBalances, providing backend data/services for Broker consumers.",false,false,true,APIs > Broker,
APIs,Broker,Broker – Fetch Plaid Balances,/API/Broker/fetchPlaidBalances/(:segment),GET,App\Modules\APIs\Controllers\BrokerController,fetchPlaidBalances,API / Backend,active,"Handles GET requests to `/API/Broker/fetchPlaidBalances/(:segment)` via App\Modules\APIs\Controllers\BrokerController::fetchPlaidBalances, providing backend data/services for Broker consumers.",false,false,true,APIs > Broker,
APIs,Broker,Broker – Fetch Plaid Holdings,/API/Broker/fetchPlaidHoldings,GET,App\Modules\APIs\Controllers\BrokerController,fetchPlaidHoldings,API / Backend,active,"Handles GET requests to `/API/Broker/fetchPlaidHoldings` via App\Modules\APIs\Controllers\BrokerController::fetchPlaidHoldings, providing backend data/services for Broker consumers.",false,false,true,APIs > Broker,
APIs,Broker,Broker – Fetch Plaid Holdings,/API/Broker/fetchPlaidHoldings,GET,App\Modules\APIs\Controllers\BrokerController,fetchPlaidHoldings,API / Backend,active,"Handles GET requests to `/API/Broker/fetchPlaidHoldings` via App\Modules\APIs\Controllers\BrokerController::fetchPlaidHoldings, providing backend data/services for Broker consumers.",false,false,true,APIs > Broker,
APIs,Broker,Broker – Fetch Plaid Holdings,/API/Broker/fetchPlaidHoldings/(:segment),GET,App\Modules\APIs\Controllers\BrokerController,fetchPlaidHoldings,API / Backend,active,"Handles GET requests to `/API/Broker/fetchPlaidHoldings/(:segment)` via App\Modules\APIs\Controllers\BrokerController::fetchPlaidHoldings, providing backend data/services for Broker consumers.",false,false,true,APIs > Broker,
APIs,Broker,Broker – Fetch Plaid Holdings,/API/Broker/fetchPlaidHoldings/(:segment),GET,App\Modules\APIs\Controllers\BrokerController,fetchPlaidHoldings,API / Backend,active,"Handles GET requests to `/API/Broker/fetchPlaidHoldings/(:segment)` via App\Modules\APIs\Controllers\BrokerController::fetchPlaidHoldings, providing backend data/services for Broker consumers.",false,false,true,APIs > Broker,
APIs,Broker,Broker – Fetch Plaid Identity,/API/Broker/fetchPlaidIdentity,GET,App\Modules\APIs\Controllers\BrokerController,fetchPlaidIdentity,API / Backend,active,"Handles GET requests to `/API/Broker/fetchPlaidIdentity` via App\Modules\APIs\Controllers\BrokerController::fetchPlaidIdentity, providing backend data/services for Broker consumers.",false,false,true,APIs > Broker,
APIs,Broker,Broker – Fetch Plaid Identity,/API/Broker/fetchPlaidIdentity,GET,App\Modules\APIs\Controllers\BrokerController,fetchPlaidIdentity,API / Backend,active,"Handles GET requests to `/API/Broker/fetchPlaidIdentity` via App\Modules\APIs\Controllers\BrokerController::fetchPlaidIdentity, providing backend data/services for Broker consumers.",false,false,true,APIs > Broker,
APIs,Broker,Broker – Fetch Plaid Identity,/API/Broker/fetchPlaidIdentity/(:segment),GET,App\Modules\APIs\Controllers\BrokerController,fetchPlaidIdentity,API / Backend,active,"Handles GET requests to `/API/Broker/fetchPlaidIdentity/(:segment)` via App\Modules\APIs\Controllers\BrokerController::fetchPlaidIdentity, providing backend data/services for Broker consumers.",false,false,true,APIs > Broker,
APIs,Broker,Broker – Fetch Plaid Identity,/API/Broker/fetchPlaidIdentity/(:segment),GET,App\Modules\APIs\Controllers\BrokerController,fetchPlaidIdentity,API / Backend,active,"Handles GET requests to `/API/Broker/fetchPlaidIdentity/(:segment)` via App\Modules\APIs\Controllers\BrokerController::fetchPlaidIdentity, providing backend data/services for Broker consumers.",false,false,true,APIs > Broker,
APIs,Broker,Broker – Fetch Plaid Income,/API/Broker/fetchPlaidIncome,GET,App\Modules\APIs\Controllers\BrokerController,fetchPlaidIncome,API / Backend,active,"Handles GET requests to `/API/Broker/fetchPlaidIncome` via App\Modules\APIs\Controllers\BrokerController::fetchPlaidIncome, providing backend data/services for Broker consumers.",false,false,true,APIs > Broker,
