batch_order,source_mutation_candidate_order,method,route,handler,classification,status,recommended_action,batch_recommendation
12,87,POST,API/Marketing/updatePlatformToggle/([0-9]+),\App\Modules\APIs\Controllers\MarketingAPIController::updatePlatformToggle/$1,MUTATION_API_TOKEN_CANDIDATE,MISSING_GUARD,add_or_confirm_api_token_guard,review_for_gt001d_b4_route_guard_patch
13,88,POST,API/Marketing/validateSymbol,\App\Modules\APIs\Controllers\MarketingAPIController::validateSymbol,MUTATION_API_TOKEN_CANDIDATE,MISSING_GUARD,add_or_confirm_api_token_guard,review_for_gt001d_b4_route_guard_patch
14,89,POST,API/Marketing/uploadNotification,\App\Modules\APIs\Controllers\MarketingAPIController::uploadNotification,MUTATION_API_TOKEN_CANDIDATE,MISSING_GUARD,add_or_confirm_api_token_guard,review_for_gt001d_b4_route_guard_patch
15,90,POST,API/Marketing/getStoryUpdates,\App\Modules\APIs\Controllers\MarketingAPIController::getStoryUpdates,MUTATION_API_TOKEN_CANDIDATE,MISSING_GUARD,add_or_confirm_api_token_guard,review_for_gt001d_b4_route_guard_patch
16,91,POST,API/Marketing/generateMarketingPackage,\App\Modules\APIs\Controllers\MarketingAPIController::generateMarketingPackage,MUTATION_API_TOKEN_CANDIDATE,MISSING_GUARD,add_or_confirm_api_token_guard,review_for_gt001d_b4_route_guard_patch
17,92,POST,API/Marketing/processPendingNotifications,\App\Modules\APIs\Controllers\MarketingAPIController::processPendingNotifications,MUTATION_API_TOKEN_CANDIDATE,MISSING_GUARD,add_or_confirm_api_token_guard,review_for_gt001d_b4_route_guard_patch
18,93,POST,API/Marketing/processPendingTempScraper,\App\Modules\APIs\Controllers\MarketingAPIController::processPendingTempScraper,MUTATION_API_TOKEN_CANDIDATE,MISSING_GUARD,add_or_confirm_api_token_guard,review_for_gt001d_b4_route_guard_patch
19,94,POST,API/Marketing/processPendingCampaigns,\App\Modules\APIs\Controllers\MarketingAPIController::processPendingCampaigns,MUTATION_API_TOKEN_CANDIDATE,MISSING_GUARD,add_or_confirm_api_token_guard,review_for_gt001d_b4_route_guard_patch
20,95,POST,API/Marketing/processPendingGeneratedContent,\App\Modules\APIs\Controllers\MarketingAPIController::processPendingGeneratedContent,MUTATION_API_TOKEN_CANDIDATE,MISSING_GUARD,add_or_confirm_api_token_guard,review_for_gt001d_b4_route_guard_patch
21,96,POST,API/Marketing/retryDistributionTargets,\App\Modules\APIs\Controllers\MarketingAPIController::retryDistributionTargets,MUTATION_API_TOKEN_CANDIDATE,MISSING_GUARD,add_or_confirm_api_token_guard,review_for_gt001d_b4_route_guard_patch
22,97,POST,API/Marketing/retryDistributionTargets/([0-9]+),\App\Modules\APIs\Controllers\MarketingAPIController::retryDistributionTargets/$1,MUTATION_API_TOKEN_CANDIDATE,MISSING_GUARD,add_or_confirm_api_token_guard,review_for_gt001d_b4_route_guard_patch
23,98,POST,API/Marketing/runMarketingPipeline,\App\Modules\APIs\Controllers\MarketingAPIController::runMarketingPipeline,MUTATION_API_TOKEN_CANDIDATE,MISSING_GUARD,add_or_confirm_api_token_guard,review_for_gt001d_b4_route_guard_patch
24,99,POST,API/Marketing/Add-Subscriber,\App\Modules\APIs\Controllers\MarketingAPIController::addSubscriber,MUTATION_API_TOKEN_CANDIDATE,MISSING_GUARD,add_or_confirm_api_token_guard,review_for_gt001d_b4_route_guard_patch
25,100,POST,API/Marketing/fetchMissingLogos,\App\Modules\APIs\Controllers\MarketingAPIController::fetchMissingLogos,MUTATION_API_TOKEN_CANDIDATE,MISSING_GUARD,add_or_confirm_api_token_guard,review_for_gt001d_b4_route_guard_patch
