method,route,name,handler,before_filters,after_filters,route_class,classification_status,classification_reason,recommended_gt001c_action,malformed_handler,blank_filters
GET,Apex/Referral/([^/]+),»,\App\Controllers\Home::apexReferral/$1,maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf,cspoff sessionTracker requestLifecycle observability jsonException toolbar,PUBLIC,REVIEW_REQUIRED,Default public classification requires owner review.,owner_review_before_launch,no,no
GET,Corporate-Earnings,»,\App\Controllers\Home::corporateEarnings,maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf,cspoff sessionTracker requestLifecycle observability jsonException toolbar,PUBLIC,REVIEW_REQUIRED,Default public classification requires owner review.,owner_review_before_launch,no,no
GET,Corporate-Earnings/([^/]+),»,\App\Controllers\Home::corporateEarnings/$1,maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf,cspoff sessionTracker requestLifecycle observability jsonException toolbar,PUBLIC,REVIEW_REQUIRED,Default public classification requires owner review.,owner_review_before_launch,no,no
GET,Economic-Calendar,»,\App\Controllers\Home::economicCalendar,maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf,cspoff sessionTracker requestLifecycle observability jsonException toolbar,PUBLIC,REVIEW_REQUIRED,Default public classification requires owner review.,owner_review_before_launch,no,no
GET,Economic-Calendar/([^/]+),»,\App\Controllers\Home::economicCalendarContent/$1,maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf,cspoff sessionTracker requestLifecycle observability jsonException toolbar,PUBLIC,REVIEW_REQUIRED,Default public classification requires owner review.,owner_review_before_launch,no,no
GET,Getting-Started/([^/]+)/([^/]+),»,\App\Controllers\Home::gettingStarted,maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf,cspoff sessionTracker requestLifecycle observability jsonException toolbar,PUBLIC,OK,Recognized public/lifecycle route.,none,no,no
GET,Getting-Started/([^/]+),»,\App\Controllers\Home::gettingStarted,maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf,cspoff sessionTracker requestLifecycle observability jsonException toolbar,PUBLIC,OK,Recognized public/lifecycle route.,none,no,no
GET,Getting-Started,»,\App\Controllers\Home::gettingStarted,maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf,cspoff sessionTracker requestLifecycle observability jsonException toolbar,PUBLIC,OK,Recognized public/lifecycle route.,none,no,no
GET,Memberships,»,\App\Controllers\Home::memberships,maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf,cspoff sessionTracker requestLifecycle observability jsonException toolbar,PUBLIC,REVIEW_REQUIRED,Default public classification requires owner review.,owner_review_before_launch,no,no
GET,Memberships/([^/]+),»,\App\Controllers\Home::memberships,maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf,cspoff sessionTracker requestLifecycle observability jsonException toolbar,PUBLIC,REVIEW_REQUIRED,Default public classification requires owner review.,owner_review_before_launch,no,no
GET,Learn/([^/]+),»,\App\Controllers\App\Modules\Public\Controllers\PublicPagesController::show/$1,maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck,cspoff sessionTracker requestLifecycle observability jsonException toolbar,USER_AUTH,OK,Login/auth/authcheck guard is present.,none,yes,no
GET,Alerts/Preview/([^/]+),»,\App\Modules\User\Controllers\AlertsController::preview/$1,maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck,cspoff sessionTracker requestLifecycle observability jsonException toolbar,USER_AUTH,OK,Login/auth/authcheck guard is present.,none,no,no
GET,Preview/Alert/([^/]+),»,\App\Modules\User\Controllers\AlertsController::preview/$1,maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf,cspoff sessionTracker requestLifecycle observability jsonException toolbar,USER_AUTH,MISSING_GUARD,Product/user route pattern detected but no user auth guard was recognized.,add_or_confirm_login_authcheck_guard,no,no
GET,Privacy-Policy,»,\App\Controllers\Home::privacyPolicy,maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf,cspoff sessionTracker requestLifecycle observability jsonException toolbar,PUBLIC,OK,Recognized public/lifecycle route.,none,no,no
GET,Legal/Privacy-Policy,»,\App\Controllers\Home::privacyPolicy,maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck,cspoff sessionTracker requestLifecycle observability jsonException toolbar,PUBLIC,OK,Recognized public/lifecycle route.,none,no,no
GET,Legal/Terms-And-Conditions,»,\App\Controllers\Home::terms,maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck,cspoff sessionTracker requestLifecycle observability jsonException toolbar,PUBLIC,OK,Recognized public/lifecycle route.,none,no,no
GET,Customer-Support,»,\App\Controllers\App\Modules\Support\Controllers\SupportController::index,maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck,cspoff sessionTracker requestLifecycle observability jsonException toolbar,USER_AUTH,OK,Login/auth/authcheck guard is present.,none,yes,no
GET,Investments/News,»,(Closure),maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck login,cspoff sessionTracker requestLifecycle observability jsonException toolbar,USER_AUTH,OK,Login/auth/authcheck guard is present.,none,no,no
GET,Profile,»,\App\Controllers\App\Modules\User\Controllers\DashboardController::profile,maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck login,login cspoff sessionTracker requestLifecycle observability jsonException toolbar,USER_AUTH,OK,Login/auth/authcheck guard is present.,none,yes,no
GET,Purchase/MyMIGold,»,(Closure),maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck,cspoff sessionTracker requestLifecycle observability jsonException toolbar,USER_AUTH,OK,Login/auth/authcheck guard is present.,none,no,no
GET,How-It-Works/Purchase/MyMIGold,»,(Closure),maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf,cspoff sessionTracker requestLifecycle observability jsonException toolbar,PUBLIC,OK,Recognized public/lifecycle route.,none,no,no
GET,How-It-Works,»,\App\Modules\Blog\Controllers\HowItWorksController::index,maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf,cspoff sessionTracker requestLifecycle observability jsonException toolbar,PUBLIC,OK,Recognized public/lifecycle route.,none,no,no
GET,How-It-Works/([^/]+),»,\App\Modules\Blog\Controllers\HowItWorksController::show/$1,maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf,cspoff sessionTracker requestLifecycle observability jsonException toolbar,PUBLIC,OK,Recognized public/lifecycle route.,none,no,no
GET,Support/Article,»,(Closure),botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf,cspoff sessionTracker requestLifecycle observability jsonException toolbar,PUBLIC,OK,Recognized public/lifecycle route.,none,no,no
GET,Wallets/Purchase/Memberships/Pro,»,(Closure),maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck login,cspoff sessionTracker requestLifecycle observability jsonException toolbar,USER_AUTH,OK,Login/auth/authcheck guard is present.,none,no,no
GET,index.php/How-It-Works,»,(Closure),maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck,cspoff sessionTracker requestLifecycle observability jsonException toolbar,USER_AUTH,OK,Login/auth/authcheck guard is present.,none,no,no
GET,index.php/How-It-Works/([^/]+),»,(Closure),maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck,cspoff sessionTracker requestLifecycle observability jsonException toolbar,USER_AUTH,OK,Login/auth/authcheck guard is present.,none,no,no
GET,Sector/([^/]+),»,\App\Controllers\Home::sector/$1,maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck,cspoff sessionTracker requestLifecycle observability jsonException toolbar,USER_AUTH,OK,Login/auth/authcheck guard is present.,none,no,no
GET,Terms-Of-Service,»,\App\Controllers\Home::termsOfService,maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf,cspoff sessionTracker requestLifecycle observability jsonException toolbar,PUBLIC,OK,Recognized public/lifecycle route.,none,no,no
GET,resend-activation,»,\App\Controllers\AuthController::resendActivation,maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf,no-cache cspoff sessionTracker requestLifecycle observability jsonException toolbar,PUBLIC,OK,Recognized public/lifecycle route.,none,no,no
GET,Dev/BitcoinTest,»,\App\Controllers\App\Controllers\Dev\BitcoinTest::index,maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck,cspoff sessionTracker requestLifecycle observability jsonException toolbar,DEPRECATED_OR_DISABLED,REVIEW_REQUIRED,Debug/dev/test route should not be launchable without explicit owner approval.,owner_review_before_launch,yes,no
GET,Debug/whoami,»,\App\Controllers\Debug::whoami,maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck,cspoff sessionTracker requestLifecycle observability jsonException toolbar,DEPRECATED_OR_DISABLED,REVIEW_REQUIRED,Debug/dev/test route should not be launchable without explicit owner approval.,owner_review_before_launch,no,no
GET,Debug/auth-audit-cache,»,\App\Controllers\Debug::authAuditCacheSelfTest,maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck,cspoff sessionTracker requestLifecycle observability jsonException toolbar,DEPRECATED_OR_DISABLED,REVIEW_REQUIRED,Debug/dev/test route should not be launchable without explicit owner approval.,owner_review_before_launch,no,no
GET,debug/common-data/smoke,»,\App\Controllers\Debug\CommonDataController::smoke,maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck,cspoff sessionTracker requestLifecycle observability jsonException toolbar,DEPRECATED_OR_DISABLED,REVIEW_REQUIRED,Debug/dev/test route should not be launchable without explicit owner approval.,owner_review_before_launch,no,no
GET,debug/register-success-probe,»,\App\Controllers\AuthController::registerSuccessProbe,maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck,cspoff sessionTracker requestLifecycle observability jsonException toolbar,DEPRECATED_OR_DISABLED,REVIEW_REQUIRED,Debug/dev/test route should not be launchable without explicit owner approval.,owner_review_before_launch,no,no
GET,API/Management/error-heatmap,»,\App\Controllers\SystemDebugController::errorHeatmap,botBlocker requestLifecycle observability ratelimit throttle sessionRevoked permission:admin.access,permission:admin.access cspoff sessionTracker requestLifecycle observability jsonException toolbar,DEPRECATED_OR_DISABLED,REVIEW_REQUIRED,Debug/dev/test route should not be launchable without explicit owner approval.,owner_review_before_launch,no,no
GET,Management/System-Debug,»,\App\Controllers\SystemDebugController::index,botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck permission:admin.access,permission:admin.access cspoff sessionTracker requestLifecycle observability jsonException toolbar,DEPRECATED_OR_DISABLED,REVIEW_REQUIRED,Debug/dev/test route should not be launchable without explicit owner approval.,owner_review_before_launch,no,no
GET,health,»,\App\Controllers\Health::index,maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf responsecache:60,responsecache:60 cspoff sessionTracker requestLifecycle observability jsonException toolbar,PUBLIC,OK,Recognized public/lifecycle route.,none,no,no
GET,status,»,\App\Controllers\Health::status,maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf responsecache:60,responsecache:60 cspoff sessionTracker requestLifecycle observability jsonException toolbar,PUBLIC,OK,Recognized public/lifecycle route.,none,no,no
GET,api/health,»,\App\Controllers\Api\HealthController::index,botBlocker requestLifecycle observability ratelimit throttle sessionRevoked,cspoff sessionTracker requestLifecycle observability jsonException toolbar,PUBLIC,OK,Recognized public/lifecycle route.,none,no,no
GET,api/admin/chat-usage,»,\App\Controllers\Api\AdminChatUsageController::index,botBlocker requestLifecycle observability ratelimit throttle sessionRevoked permission:admin.access,permission:admin.access cspoff sessionTracker requestLifecycle observability jsonException toolbar,ADMIN_AUTH,OK,Permission/role guard is present.,none,no,no
GET,_ops/opcache-reset,»,\App\Controllers\Ops::opcacheReset,maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck,cspoff sessionTracker requestLifecycle observability jsonException toolbar,USER_AUTH,OK,Login/auth/authcheck guard is present.,none,no,no
GET,API/Solana/health,»,\App\Modules\APIs\Controllers\SolanaAPIController::health,botBlocker requestLifecycle observability ratelimit throttle sessionRevoked,cspoff sessionTracker requestLifecycle observability jsonException toolbar,API_TOKEN,MISSING_GUARD,API route is non-public but no API token/auth/role guard was recognized.,add_or_confirm_api_token_guard,no,no
GET,login,»,\App\Controllers\AuthController::login,maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf no-cache,no-cache cspoff sessionTracker requestLifecycle observability jsonException toolbar,PUBLIC,OK,Recognized public/lifecycle route.,none,no,no
GET,logout,»,\App\Controllers\AuthController::logout,maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck no-cache,no-cache cspoff sessionTracker requestLifecycle observability jsonException toolbar,PUBLIC,OK,Recognized public/lifecycle route.,none,no,no
GET,register,»,\App\Controllers\AuthController::register,maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf no-cache,no-cache cspoff sessionTracker requestLifecycle observability jsonException toolbar,PUBLIC,OK,Recognized public/lifecycle route.,none,no,no
GET,register/success,register-success,\App\Controllers\AuthController::registerSuccess,maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf no-cache,no-cache cspoff sessionTracker requestLifecycle observability jsonException,PUBLIC,OK,Recognized public/lifecycle route.,none,no,no
GET,login-shield,»,\App\Controllers\ShieldAuth\Login::index,maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck no-cache,no-cache cspoff sessionTracker requestLifecycle observability jsonException toolbar,PUBLIC,OK,Recognized public/lifecycle route.,none,no,no
GET,register-shield,»,\App\Controllers\ShieldAuth\Register::index,maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck no-cache,no-cache cspoff sessionTracker requestLifecycle observability jsonException toolbar,PUBLIC,OK,Recognized public/lifecycle route.,none,no,no
GET,Login,»,(Closure),maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf no-cache,no-cache cspoff sessionTracker requestLifecycle observability jsonException toolbar,PUBLIC,OK,Recognized public/lifecycle route.,none,no,no
GET,test-create-user,»,\App\Controllers\AuthController::createTempUser,maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck no-cache,no-cache cspoff sessionTracker requestLifecycle observability jsonException toolbar,DEPRECATED_OR_DISABLED,REVIEW_REQUIRED,Debug/dev/test route should not be launchable without explicit owner approval.,owner_review_before_launch,no,no
GET,register/([^/]+),register-segment,\App\Controllers\AuthController::register/$1,maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf no-cache,no-cache cspoff sessionTracker requestLifecycle observability jsonException toolbar,PUBLIC,REVIEW_REQUIRED,Default public classification requires owner review.,owner_review_before_launch,no,no
GET,Discord/register,discord-register,\App\Controllers\AuthController::register,maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf no-cache,no-cache cspoff sessionTracker requestLifecycle observability jsonException toolbar,PUBLIC,OK,Recognized public/lifecycle route.,none,no,no
GET,Discord/register/([^/]+),discord-register-referral,\App\Controllers\AuthController::register/$1,maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf no-cache,no-cache cspoff sessionTracker requestLifecycle observability jsonException toolbar,PUBLIC,OK,Recognized public/lifecycle route.,none,no,no
GET,activate,»,\App\Controllers\AuthController::activateAccount,maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf no-cache,no-cache cspoff sessionTracker requestLifecycle observability jsonException toolbar,PUBLIC,OK,Recognized public/lifecycle route.,none,no,no
GET,activate-account,activate-account-get,\App\Controllers\AuthController::activateAccount,maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf no-cache,no-cache cspoff sessionTracker requestLifecycle observability jsonException toolbar,PUBLIC,OK,Recognized public/lifecycle route.,none,no,no
GET,resend-activate-account,»,\App\Controllers\AuthController::resendActivateAccount,maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf no-cache,no-cache cspoff sessionTracker requestLifecycle observability jsonException toolbar,PUBLIC,OK,Recognized public/lifecycle route.,none,no,no
GET,forgot-password,»,\App\Controllers\AuthController::forgotPassword,maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf no-cache,no-cache cspoff sessionTracker requestLifecycle observability jsonException toolbar,PUBLIC,OK,Recognized public/lifecycle route.,none,no,no
GET,reset-password,»,\App\Controllers\AuthController::resetPassword,maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf no-cache,no-cache cspoff sessionTracker requestLifecycle observability jsonException toolbar,PUBLIC,OK,Recognized public/lifecycle route.,none,no,no
GET,auth/provider/([^/]+),auth-provider,\App\Controllers\AuthController::redirectToProvider/$1,maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf no-cache,no-cache cspoff sessionTracker requestLifecycle observability jsonException toolbar,PUBLIC,OK,Recognized public/lifecycle route.,none,no,no
GET,auth/provider/([^/]+)/callback,auth-provider-callback,\App\Controllers\AuthController::handleProviderCallback/$1,maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf no-cache,no-cache cspoff sessionTracker requestLifecycle observability jsonException toolbar,PUBLIC,OK,Recognized public/lifecycle route.,none,no,no
GET,auth/link/([^/]+),auth-link-provider,\App\Controllers\AuthController::linkProvider/$1,maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck no-cache,no-cache cspoff sessionTracker requestLifecycle observability jsonException toolbar,USER_AUTH,OK,Login/auth/authcheck guard is present.,none,no,no
GET,auth/unlink/([^/]+),auth-unlink-provider,\App\Controllers\AuthController::unlinkProvider/$1,maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck no-cache,no-cache cspoff sessionTracker requestLifecycle observability jsonException toolbar,USER_AUTH,OK,Login/auth/authcheck guard is present.,none,no,no
GET,Account,account,\App\Modules\User\Controllers\DashboardController::account,maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck login noStore,noStore login cspoff sessionTracker requestLifecycle observability jsonException toolbar,USER_AUTH,OK,Login/auth/authcheck guard is present.,none,no,no
GET,Account/Activity,activity,\App\Modules\User\Controllers\DashboardController::activity,maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck login noStore,noStore login cspoff sessionTracker requestLifecycle observability jsonException toolbar,USER_AUTH,OK,Login/auth/authcheck guard is present.,none,no,no
GET,Account/Billing,billing,\App\Modules\User\Controllers\DashboardController::billing,maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck login noStore,noStore login cspoff sessionTracker requestLifecycle observability jsonException toolbar,USER_AUTH,OK,Login/auth/authcheck guard is present.,none,no,no
GET,Account/Connected-Accounts,connected-accounts,\App\Modules\User\Controllers\DashboardController::connectedAccounts,maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck login noStore,noStore login cspoff sessionTracker requestLifecycle observability jsonException toolbar,USER_AUTH,OK,Login/auth/authcheck guard is present.,none,no,no
GET,Account/Notifications,notifications,\App\Modules\User\Controllers\DashboardController::notifications,maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck login noStore,noStore login cspoff sessionTracker requestLifecycle observability jsonException toolbar,USER_AUTH,OK,Login/auth/authcheck guard is present.,none,no,no
GET,Account/Security,security,\App\Modules\User\Controllers\DashboardController::Security,maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck login noStore,noStore login cspoff sessionTracker requestLifecycle observability jsonException toolbar,USER_AUTH,OK,Login/auth/authcheck guard is present.,none,no,no
GET,Account/Social-Media,social-media,\App\Modules\User\Controllers\DashboardController::SocialMedia,maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck login noStore,noStore login cspoff sessionTracker requestLifecycle observability jsonException toolbar,USER_AUTH,OK,Login/auth/authcheck guard is present.,none,no,no
GET,Accounts/createLinkToken,create-link-token,\App\Modules\User\Controllers\AccountController::createLinkToken,maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck login noStore,noStore login cspoff sessionTracker requestLifecycle observability jsonException toolbar,USER_AUTH,OK,Login/auth/authcheck guard is present.,none,no,no
GET,Search,»,\App\Modules\User\Controllers\SearchController::index,maintenance botBlocker requestLifecycle observability ratelimit throttle sessionRevoked csrf authcheck login noStore,noStore login cspoff sessionTracker requestLifecycle observability jsonException toolbar,USER_AUTH,OK,Login/auth/authcheck guard is present.,none,no,no
