Watchlist '00 - MyMI EMA Whale Analyzer - <$25 Stocks'

00 - MyMI EMA Whale Analyzer - <$25 Stocks
Symbol,Sum,Stage,pct_Chg_from_52Wk_Lo,52Low,Mark,Mark %Change,%Chng 5 D,52High,pct_Chg_from_52Wk_Hi,pct_1_Mo_Chg,$ Vol,Volume,AbvVol,365Vol,Market Cap,Net Profit Margin - Current (LTM)
GT,WAIT,1.0,39.63,6.51,9.090,0.00%,-0.66%,12.03,-24.44,3.06,43.72,"4,791,456",-22.64,6.89,"2,601 M",-9.4429
XP,WAIT,4.0,59.63,10.9,17.400,-0.06%,+0.99%,20.64,-15.7,5.07,74.94,"4,331,585",-34.98,6.92,"9,028 M",29.369
NU,BUY,5.0,84.24,9.01,16.600,-0.06%,-2.58%,18.37,-9.64,2.47,715.66,"43,398,168",14.43,51.44,"80,437 M",39.762
OCUL,SELL,-1.0,94.81,5.785,11.270,-0.09%,+5.43%,16.44,-31.45,-21.68,75.54,"6,653,459",72.9,2.46,"2,401 M",-447.58
NOV,WAIT,2.0,66.05,10.84,18.000,-0.11%,+4.47%,18.22,-1.21,17.49,60.35,"3,350,227",-17.32,4.23,"6,566 M",4.3646
TME,BUY,5.0,51.97,10.91,16.580,-0.12%,-6.54%,26.7,-37.9,-6.7,88.02,"5,337,640",-9.96,6.65,"25,548 M",34.081
ONB,SELL,-4.0,38.25,16.825,23.260,-0.13%,+2.15%,24.49,-5.02,1.62,127.83,"5,473,753",103.02,3.38,"9,089 M",28.732
NCNO,WAIT,4.0,29.33,18.75005,24.250,-0.16%,-4.57%,35.04,-30.79,-1.54,43.4,"1,787,190",-3.72,1.87,"2,781 M",-3.7112
ROIV,BUY,5.0,164.95,8.73,23.240,-0.26%,+4.38%,23.91,-3.26,0.83,185.24,"8,170,037",6.7,6.71,"16,087 M",-1839.6
TU,WAIT,1.0,8.02,12.5444,13.560,-0.29%,+0.59%,16.735,-19.03,6.53,74.82,"5,513,674",-15.84,4.1,"21,015 M",5.7661
BANC,SELL,-4.0,80.56,11.52,20.800,-0.34%,+2.87%,21.085,-1.35,5.85,38.01,"1,830,417",-6.84,2.52,"3,233 M",20.442
ABEV,BUY,5.0,45.1,1.785,2.5900,-0.38%,+0.78%,2.635,-1.71,1.57,39.43,"15,283,856",-48.63,33.85,"40,447 M",17.726
ARCC,WAIT,1.0,14.46,18.26,20.900,-0.43%,+1.85%,23.84,-12.33,3.77,98.71,"4,714,838",5.37,4.72,"14,982 M",45.162
BBWI,SELL,-2.0,63.01,14.275,23.270,-0.56%,+3.10%,41.87,-44.42,18.48,82.78,"3,588,379",-56.19,6.12,"4,764 M",9.505
NEO,SELL,-5.0,170.97,4.72,12.750,-0.62%,+2.40%,15.32,-16.51,9.6,75.91,"5,943,083",200.69,2.35,"1,655 M",-16
HMY,WAIT,4.0,124.97,9.6901,21.800,-0.68%,-2.24%,22.98,-5.13,7.81,91.92,"4,234,854",8.94,5.51,"13,616 M",19.465
BEKE,SELL,-3.0,14.22,15.26,17.430,-0.68%,-1.30%,25.165,-30.74,5.83,55.88,"3,226,160",-35.63,7.28,"19,563 M",3.358
FLG,WAIT,3.0,40.98,9.15,12.900,-0.69%,+1.02%,13.845,-6.83,-0.23,73.74,"5,709,944",14.19,5.91,"5,363 M",-21.84
ALMS,WAIT,2.0,764.46,2.7601,24.000,-0.70%,+13.13%,25.1898,-5.28,109.3,37.85,"1,580,239",-50.02,1.19,"2,975 M",-1108.2
SM,SELL,-1.0,4.36,17.45,18.210,-0.71%,+1.90%,43.06,-57.71,-0.33,51.06,"2,804,973",-8.35,2.49,"2,086 M",22.967
FMC,WAIT,2.0,26.13,12.17,15.350,-0.84%,+1.32%,57.0,-73.07,16.64,59.96,"3,909,314",-14.34,3.21,"1,918 M",-14.81
ERIC,WAIT,1.0,41.87,6.64,9.420,-0.84%,0.00%,10.35,-8.99,-2.08,61.63,"6,535,584",-27.25,17.62,"31,400 M",10.255
FULT,WAIT,1.0,39.62,14.325,20.000,-0.84%,+2.35%,21.4,-6.54,0.45,59.75,"2,977,604",78.02,1.51,"3,598 M",29.36
ADMA,WAIT,1.0,28.22,13.5,17.350,-0.86%,-3.46%,25.67,-32.57,-9.7,38.12,"2,186,251",-26.4,3.16,"4,120 M",42.87
CCC,WAIT,4.0,NaN,6.96,8.000,-0.87%,-5.88%,9.44,NaN,2.17,46.76,"5,844,960",-24.59,NaN,"5,126 M",-.2788
SMPL,WAIT,3.0,13.44,18.45,20.930,-1.04%,+1.31%,40.01,-47.69,9.52,46.56,"2,243,097",18.94,1.36,"1,938 M",6.26
SHLS,WAIT,1.0,242.07,2.71,9.270,-1.07%,-3.64%,11.36,-18.4,8.55,56.62,"6,039,478",42.24,5.96,"1,552 M",7.666
PCG,WAIT,1.0,20.35,12.97,15.610,-1.08%,-0.57%,17.95,-13.04,2.23,240.31,"15,374,811",-31.34,22.93,"34,309 M",10.492
TGB,WAIT,4.0,322.16,1.67,7.050,-1.40%,+12.44%,7.425,-5.05,35.58,51.52,"7,394,035",11.01,8.55,"2,541 M",-9.3371
JHX,SELL,-5.0,43.74,16.46,23.660,-1.42%,+1.81%,34.96,-32.32,16.67,159.77,"6,691,792",8.17,5.15,"13,720 M",<empty>
FSLY,SELL,-1.0,94.19,4.65,9.040,-1.42%,-3.32%,12.5906,-28.28,-11.21,40.2,"4,431,437",-5.24,3.3,"1,349 M",-23.49
VISN,WAIT,4.0,NaN,18.12,18.600,-2.62%,-2.31%,19.95,NaN,NaN,93.94,"5,012,950",NaN,NaN,"4,119 M",17.569
CSTM,SELL,-1.0,202.53,7.325,22.160,-3.32%,+1.23%,23.0,-3.65,19.72,37.63,"1,677,126",34.98,1.46,"3,054 M",1.4179
WIT,WAIT,3.0,7.84,2.55,2.770,-6.73%,-5.50%,3.79,-27.44,-1.79,37.68,"13,547,343",91.72,6.86,"28,808 M",15.058
VNET,WAIT,3.0,126.99,4.65,10.555,-8.14%,-7.25%,16.13,-34.56,20.63,98.04,"9,007,201",108.41,7.02,"2,840 M",-5.9694
ROLR,WAIT,2.0,1355.17,1.16,17.000,-28.42%,+462.67%,33.68,-49.88,904.76,171.66,"7,580,425",220.98,0.49,143 M,-8.0944
