ContentPage,Slug,RoutePath,FullUrl,Category,SearchIntent,ContentType,Priority,SchemaTypes,TargetKeywords,WordCountGoal,RequiresOGTags,RequiresTwitterCard,RequiresCanonical,InternalLinkTargets,LinkedFromModules,PlannedCTA,IsDraft,Status,Owner,LastUpdated,Notes
Investor Profile – Knowledge Base,investor-profile,/Knowledge/Investor-Profile,https://www.mymiwallet.com/Knowledge/Investor-Profile,Knowledge Base,educational,Knowledge Base Entry,medium,WebPage|HowTo|FAQPage,"mymi investor-profile,mymi knowledge base investor profile,knowledge hub investor-profile",1200,true,true,true,"/Knowledge/What-Is-MyMI-Wallet,/Knowledge/Budgeting-Academy,/Knowledge/Investment-FAQ","User > Knowledgebase,User,Support,Knowledgebase",Explore Knowledge Hub,true,planned,Support,2025-11-16,"Ported from feature inventory route /Knowledgebase/Investor-Profile. Handles GET requests to `/Knowledgebase/Investor-Profile` via App\Modules\User\Controllers\KnowledgebaseController::investorProfile, helping signed-in users work within the Knowledgebase tools."
Knowledge Hub Overview – Knowledge Base,knowledge-hub-overview,/Knowledge,https://www.mymiwallet.com/Knowledge,Knowledge Base,educational,Knowledge Base Entry,medium,WebPage|HowTo|FAQPage,"mymi knowledge-hub-overview,mymi knowledge base knowledge hub overview,knowledge hub knowledge-hub-overview",1200,true,true,true,"/Knowledge/What-Is-MyMI-Wallet,/Knowledge/Budgeting-Academy,/Knowledge/Investment-FAQ","User > Knowledgebase,User,Support,Knowledgebase",Explore Knowledge Hub,true,planned,Support,2025-11-16,"Ported from feature inventory route /Knowledgebase. Handles GET requests to `/Knowledgebase` via App\Modules\User\Controllers\KnowledgebaseController::index, helping signed-in users work within the Knowledgebase tools."
Kycverification – Knowledge Base,kyc-verification,/Knowledge/KYC-Verification,https://www.mymiwallet.com/Knowledge/KYC-Verification,Knowledge Base,educational,Knowledge Base Entry,medium,WebPage|HowTo|FAQPage,"mymi kycverification,mymi knowledge base kycverification,knowledge hub kyc-verification",1200,true,true,true,"/Knowledge/What-Is-MyMI-Wallet,/Knowledge/Budgeting-Academy,/Knowledge/Investment-FAQ","User > Knowledgebase,User,Support,Knowledgebase",Explore Knowledge Hub,true,planned,Support,2025-11-16,"Ported from feature inventory route /Knowledgebase/KYC-Verification. Handles GET requests to `/Knowledgebase/KYC-Verification` via App\Modules\User\Controllers\KnowledgebaseController::KYCVerification, helping signed-in users work within the Knowledgebase tools."
MyMI Alerts Knowledge Base,mymi-alerts-knowledge-base,/Knowledge/Alerts-Knowledge-Base,https://www.mymiwallet.com/Knowledge/Alerts-Knowledge-Base,Knowledge Base,educational,Knowledge Base Entry,medium,WebPage|HowTo|Article,"trade alerts,mymi alerts,automated trade alerts,stock alert system",1200,true,true,true,"/Knowledge/AI-Trade-Insights,/Knowledge/Investment-FAQ,/Knowledge/What-Is-MyMI-Wallet","Alerts,Support,Marketing",Try MyMI Alerts,true,planned,Product,2025-11-16,"Explain alert tiers, notification cadence, and onboarding flows."
MyMI Wallet Getting Started Guide,mymi-wallet-getting-started,/Knowledge/Getting-Started,https://www.mymiwallet.com/Knowledge/Getting-Started,Education,educational,Tutorial,medium,Article|HowTo|EducationalArticle,"getting started with mymi wallet,onboarding guide,mymi setup tutorial,personal finance onboarding",2000,true,true,true,"/Knowledge/What-Is-MyMI-Wallet,/Knowledge/Budgeting-Academy,/Knowledge/Investment-FAQ","Marketing,Support,Onboarding",Create Your Free Account,true,drafting,Customer Success,2025-11-16,Repurpose onboarding flow with annotated screenshots.
Partnerships – Knowledge Base,mymi-partnerships,/Knowledge/MyMI-Partnerships,https://www.mymiwallet.com/Knowledge/MyMI-Partnerships,Knowledge Base,educational,Knowledge Base Entry,medium,WebPage|HowTo|FAQPage,"mymi partnerships,mymi knowledge base partnerships,knowledge hub mymi-partnerships",1200,true,true,true,"/Knowledge/What-Is-MyMI-Wallet,/Knowledge/Budgeting-Academy,/Knowledge/Investment-FAQ","User > Knowledgebase,User,Support,Knowledgebase",Explore Knowledge Hub,true,planned,Support,2025-11-16,"Ported from feature inventory route /Knowledgebase/MyMI-Partnerships. Handles GET requests to `/Knowledgebase/MyMI-Partnerships` via App\Modules\User\Controllers\KnowledgebaseController::partnerships, helping signed-in users work within the Knowledgebase tools."
Personal Finance Glossary,personal-finance-glossary,/Knowledge/Personal-Finance-Glossary,https://www.mymiwallet.com/Knowledge/Personal-Finance-Glossary,Education,informational,Glossary,medium,ItemList|WebPage|Article,"personal finance glossary,financial terms definitions,investing glossary,money vocabulary",2000,true,true,true,"/Knowledge/What-Is-MyMI-Wallet,/Knowledge/Budgeting-Academy,/Knowledge/Investment-FAQ","SEO,Support,Marketing",Bookmark the Glossary,true,planned,Marketing,2025-11-16,Alphabetized glossary that powers contextual tooltips.
Portfolio Diversification Strategies,portfolio-diversification-strategies,/Knowledge/Portfolio-Diversification-Strategies,https://www.mymiwallet.com/Knowledge/Portfolio-Diversification-Strategies,Investments,educational,Long-Form Article,medium,Article|EducationalArticle,"portfolio diversification strategies,risk management guide,asset allocation,my mi investments",1500,true,true,true,"/Knowledge/Investment-FAQ,/Knowledge/AI-Trade-Insights,/Knowledge/What-Is-MyMI-Wallet","Investments,Advisory,Marketing",Build Your Portfolio Plan,true,planned,Product,2025-11-16,Showcase comparative analytics and goal tracking dashboards.
Promoted Articles – Knowledge Base,promoted-articles,/Knowledge/Promoted-Articles,https://www.mymiwallet.com/Knowledge/Promoted-Articles,Knowledge Base,educational,Knowledge Base Entry,medium,WebPage|HowTo|FAQPage,"mymi promoted-articles,mymi knowledge base promoted articles,knowledge hub promoted-articles",1200,true,true,true,"/Knowledge/What-Is-MyMI-Wallet,/Knowledge/Budgeting-Academy,/Knowledge/Investment-FAQ","User > Knowledgebase,User,Support,Knowledgebase",Explore Knowledge Hub,true,planned,Support,2025-11-16,"Ported from feature inventory route /Knowledgebase/Promoted-Articles. Handles GET requests to `/Knowledgebase/Promoted-Articles` via App\Modules\User\Controllers\KnowledgebaseController::promotedArticles, helping signed-in users work within the Knowledgebase tools."
Smart Savings Automation Tips,smart-savings-automation,/Knowledge/Smart-Savings-Automation,https://www.mymiwallet.com/Knowledge/Smart-Savings-Automation,Budgeting,informational|awareness-building,Long-Form Article,medium,Article|HowTo,"savings automation,automatic budgeting,mymi automations,bill payment planning",1500,true,true,true,"/Knowledge/Budgeting-Academy,/Knowledge/Getting-Started,/Knowledge/Investment-FAQ","Budget,Automation,Marketing",Start Automating Savings,true,planned,Marketing,2025-11-16,"Highlight ACH rules, envelope budgeting, and automation recipes."
Technical Support – Knowledge Base,technical-support,/Knowledge/Technical-Support,https://www.mymiwallet.com/Knowledge/Technical-Support,Knowledge Base,educational,Knowledge Base Entry,medium,WebPage|HowTo|FAQPage,"mymi technical-support,mymi knowledge base technical support,knowledge hub technical-support",1200,true,true,true,"/Knowledge/What-Is-MyMI-Wallet,/Knowledge/Budgeting-Academy,/Knowledge/Investment-FAQ","User > Knowledgebase,User,Support,Knowledgebase",Explore Knowledge Hub,true,planned,Support,2025-11-16,"Ported from feature inventory route /Knowledgebase/Technical-Support. Handles GET requests to `/Knowledgebase/Technical-Support` via App\Modules\User\Controllers\KnowledgebaseController::technicalSupport, helping signed-in users work within the Knowledgebase tools."
Trade Tracker – Knowledge Base,trade-tracker,/Knowledge/Trade-Tracker,https://www.mymiwallet.com/Knowledge/Trade-Tracker,Knowledge Base,educational,Knowledge Base Entry,medium,WebPage|HowTo|FAQPage,"mymi trade-tracker,mymi knowledge base trade tracker,knowledge hub trade-tracker",1200,true,true,true,"/Knowledge/What-Is-MyMI-Wallet,/Knowledge/Budgeting-Academy,/Knowledge/Investment-FAQ","User > Knowledgebase,User,Support,Knowledgebase",Explore Knowledge Hub,true,planned,Support,2025-11-16,"Ported from feature inventory route /Knowledgebase/Trade-Tracker. Handles GET requests to `/Knowledgebase/Trade-Tracker` via App\Modules\User\Controllers\KnowledgebaseController::tradeTracker, helping signed-in users work within the Knowledgebase tools."
Tutorials – Knowledge Base,tutorials,/Knowledge/Tutorials,https://www.mymiwallet.com/Knowledge/Tutorials,Knowledge Base,educational,Knowledge Base Entry,medium,WebPage|HowTo|FAQPage,"mymi tutorials,mymi knowledge base tutorials,knowledge hub tutorials",1200,true,true,true,"/Knowledge/What-Is-MyMI-Wallet,/Knowledge/Budgeting-Academy,/Knowledge/Investment-FAQ","User > Knowledgebase,User,Support,Knowledgebase",Explore Knowledge Hub,true,planned,Support,2025-11-16,"Ported from feature inventory route /Knowledgebase/Tutorials. Handles GET requests to `/Knowledgebase/Tutorials` via App\Modules\User\Controllers\KnowledgebaseController::tutorials, helping signed-in users work within the Knowledgebase tools."
Types Of Accounts – Knowledge Base,types-of-accounts,/Knowledge/Types-Of-Accounts,https://www.mymiwallet.com/Knowledge/Types-Of-Accounts,Knowledge Base,educational,Knowledge Base Entry,medium,WebPage|HowTo|FAQPage,"mymi types-of-accounts,mymi knowledge base types of accounts,knowledge hub types-of-accounts",1200,true,true,true,"/Knowledge/What-Is-MyMI-Wallet,/Knowledge/Budgeting-Academy,/Knowledge/Investment-FAQ","User > Knowledgebase,User,Support,Knowledgebase",Explore Knowledge Hub,true,planned,Support,2025-11-16,"Ported from feature inventory route /Knowledgebase/Types-Of-Accounts. Handles GET requests to `/Knowledgebase/Types-Of-Accounts` via App\Modules\User\Controllers\KnowledgebaseController::typesOfAccounts, helping signed-in users work within the Knowledgebase tools."
AI Insights vs. Manual Research,ai-insights-vs-manual-research,/Knowledge/AI-Insights-Vs-Manual-Research,https://www.mymiwallet.com/Knowledge/AI-Insights-Vs-Manual-Research,AI Insights,informational,Explainer,low,Article|TechArticle,"ai vs manual research,investment research automation,ai trade intelligence,investment workflows",1500,true,true,true,"/Knowledge/AI-Trade-Insights,/Knowledge/Investment-FAQ,/Knowledge/What-Is-MyMI-Wallet","AI Insights,Alerts,Marketing",Explore AI Signals,true,planned,Marketing,2025-11-16,Contrast AI signal workflows with legacy spreadsheet analysis.
