Module,"Gap ID",Requirement,"Doc Source","Code Evidence",Status,Priority,"Estimated Effort",Dependencies,Owner,"Target Version",Notes
Investments,GAP-INVESTMENTS-001,"Individual Wallet Sharing",docs/gap_tracker/README.md,,Open,P2,,N/A,Unassigned,backlog,"Auto-filled by gap:sync"
AI,GAP-AI-002,"Integrate Kimi and determine what we can automate",docs/gap_tracker/README.md,,Open,P2,,N/A,Unassigned,backlog,"Auto-filled by gap:sync"
Docs,GAP-DOCS-003,"Main /docs README with list of Spark Commands",docs/gap_tracker/README.md,,Open,P2,,N/A,Unassigned,backlog,"Auto-filled by gap:sync"
Docs,GAP-DOCS-004,"Modules Code Reviews / Alignments / Enhancements",docs/gap_tracker/README.md,,Open,P2,,N/A,Unassigned,backlog,"Auto-filled by gap:sync"
How-Tos,GAP-HOWTOS-001,"MyMI How-To Videos using PRISM Screen Recordings and Canvas",docs/gap_tracker/README.md,,Open,P2,,N/A,Unassigned,backlog,"Auto-filled by gap:sync"
Analytics,GAP-ANALYTICS-001,"MyMIAnalytics: Analyze MyMI Momentum Analyzer using AlphaVantage - Mirror current TradingView Chart Indicator",,,,,,,,,
Application,GAP-APPLICATION-002,"MyMIApp: React Native Mobile App Testing",,,,,,,,,
Audit,GAP-AUDIT-001,"MyMIAudit: Suggestive Investment Strategies / Alert Assignments based on Buying Power / Risk Measures",,,,,,,,,
Automation,GAP-AUTOMATION-001,"MyMIAutomation: Integrate Python for Automation as a WebSocket Replacement? ",,,,,,,,,
Brokers,GAP-BROKERS-001,"MyMIBroker & Plaid Integrations",,,,,,,,,
Brokers,GAP-BROKERS-002,"MyMIBrokers: Charles Schwab API Integration -> Individual/Company",,,,,,,,,
Budget,GAP-BUDGET-002,"MyMIBudget: Optimize User Financial Forecasting - expand chart to 5yr/15yr/30yr",,,,,,,,,
Community,GAP-COMMUNITY-001,"MyMICommunity: My Community Integration",,,,,,,,,
Application,GAP-APPLICATION-003,"MyMIConfig: Using Routes.php to create Link Testing + Separate Logging",,,,,,,,,
Dashboard,GAP-DASHBOARD-001,"MyMIDashboard: Build Financial Overview Dashboard",,,,,,,,,
Dashboard,GAP-DASHBOARD-002,"MyMIDashboard: Complete /Dashboard Buildout + Enhancements",,,,,,,,,
Dashboard,GAP-DASHBOARD-003,"MyMIDashboard: Enhance Main Dashboard with more Internal/External Advertising Slots",,,,,,,,,
DexScreener,GAP-DEXSCREENER-001,"MyMIDexScreener -> TOS Scanning Script Integration",,,,,,,,,
Discord,GAP-DISCORD-001,"MyMIDiscord User Guides -> CI4 Equivalents",,,,,,,,,
Discord,GAP-DISCORD-002,"MyMIDiscord: CI4 -> Discord Real-Time Integrations",,,,,,,,,
Exchange,GAP-EXCHANGE-001,"MyMIExchange: BitcoinJS Library Integration",,,,,,,,,
Exchange,GAP-EXCHANGE-002,"MyMIExchange: How to identify shfits in stocks to hold",,,,,,,,,
Exchange,GAP-EXCHANGE-003,"MyMIExchange: Integrate with NinjaTrader for Asset Exchange",,,,,,,,,
Exchange,GAP-EXCHANGE-004,"MyMIExchange: Preview /Solana/{Ticker}",,,,,,,,,
Exchange,GAP-EXCHANGE-005,"MyMIExchange: The Science behind Economics & Fundamentals",,,,,,,,,
MyMIGold,GAP-MYMIGOLD-001,"MyMIGold Daily Tasks - Start Task Functionality - not working currently",,,,,,,,,
Investments,GAP-INVESTMENTS-002,"MyMIInvestments: Best Strategy for trading with $1000 Account ($350 minimum)",,,,,,,,,
Investments,GAP-INVESTMENTS-003,"MyMIInvestments: How to automate Prop Firm Trading & Alert System",,,,,,,,,
Investments,GAP-INVESTMENTS-004,"MyMIInvestments: Integrating Inverse ETF Swing Trading in Personal Financial Forecasting",,,,,,,,,
Investments,GAP-INVESTMENTS-005,"MyMIInvestments: New Investment Dashboard",,,,,,,,,
Investments,GAP-INVESTMENTS-006,"MyMIInvestments: Rule of 78 -> Financial Forecast | Rule of 75 -> Investments",,,,,,,,,
Investments,GAP-INVESTMENTS-007,"MyMIInvestments: Sizing/Positioning, Entry/Exits, Stop Losses, Leveraging Shorts to Hedge Risk/Exposure",,,,,,,,,
Management,GAP-MANAGEMENT-001,"MyMIManagement: Archive GPT Data | Parse and store in MyMI Database",,,,,,,,,
Management,GAP-MANAGEMENT-002,"MyMIManagement: In-page Button Redirect to Target Element Alignment",,,,,,,,,
Management,GAP-MANAGEMENT-003,"MyMIManagement: Summarize all notes in GPT -> Create Codex Docs",,,,,,,,,
Marketing,GAP-MARKETING-003,"MyMIMarketing: Active Marketing Sub-Dashbaord",,,,,,,,,
Marketing,GAP-MARKETING-004,"MyMIMarketing: Build a Marketing Webbanner Design & Automated Upload Process using ChatGPT/Codex",,,,,,,,,
Marketing,GAP-MARKETING-005,"MyMIMarketing: Google Sitemap Generation using Routes.php",,,,,,,,,
Marketing,GAP-MARKETING-006,"MyMIMarketing: How to construct my own Video Generator",,,,,,,,,
Marketing,GAP-MARKETING-007,"MyMIMarketing: Leveraging Headline Stats Section | Ensuring Data Population",,,,,,,,,
Marketing,GAP-MARKETING-008,"MyMIMarketing: Marketing Dashboard - Convert Real-Time to dynamicModel",,,,,,,,,
Marketing,GAP-MARKETING-009,"MyMIMarketing: Multi-Campaign Uploading",,,,,,,,,
Marketing,GAP-MARKETING-010,"MyMIMarketing: MyMI Twitch Intro Video Instructions",,,,,,,,,
Marketing,GAP-MARKETING-011,"MyMIMarketing: MyMI Wallet Pre/Mid/Pos Stream Marketing",,,,,,,,,
Marketing,GAP-MARKETING-012,"MyMIMarketing: New Marketing Content Generation & Distribution",,,,,,,,,
Marketing,GAP-MARKETING-013,"MyMIMarketing: Preview/Alert/ -> Share to Social Icons | Pre-generated Messages",,,,,,,,,
Marketing,GAP-MARKETING-014,"MyMIMarketing: Scraping Checklist",,,,,,,,,
Marketing,GAP-MARKETING-015,"MyMIMarketing: Solana Integration + Services",,,,,,,,,
Marketing,GAP-MARKETING-016,"MyMIMarketing: Video Automation + Distribution System",,,,,,,,,
News,GAP-NEWS-001,"MyMINews Integration -> TOS News Alert Scrapping",,,,,,,,,
Notifications,GAP-NOTIFICATIONS-001,"MyMINotifications: Notification System - give user ability to follow content",,,,,,,,,
Projects,GAP-PROJECTS-001,"MyMIProjects: Asset Protection Agreement -> Illegal Activity Clause -> Arbitration Management -> Control over Asset",,,,,,,,,
Props,GAP-PROPS-001,"MyMIProps: Prop Trading Doc - Links to Indicator / Acct Access Required",,,,,,,,,
Props,GAP-PROPS-002,"MyMIProps: Prop Trading Livestream",,,,,,,,,
Search,GAP-SEARCH-003,"MyMISearch: Top Site Search -> Categorization -> Alerts | Profile/User | Budget | Projects | Invest Records | $ for Tickers | @ for users/groups",,,,,,,,,
Sec,GAP-SEC-001,"MyMISec: SEC Filing Automated Distribution",,,,,,,,,
Support,GAP-SUPPORT-001,"MyMISupport: Contact Support - Pop-ins in Productions when errors",,,,,,,,,
Support,GAP-SUPPORT-002,"MyMISupport: How It Works / Tutorials Live Stream / Highlight Videos",,,,,,,,,
User,GAP-USER-002,"MyMIUser Integration with Google, Facebook, X and Discord Login",,,,,,,,,
User,GAP-USER-003,"MyMIUser: Active User Email Campaigns: Need a Walkthrough?",,,,,,,,,
User,GAP-USER-004,"MyMIUser: Use last_active in users to track Logins",,,,,,,,,
User,GAP-USER-005,"MyMIUser: User Access Code for Social Media Membership Tracking",,,,,,,,,
User,GAP-USER-006,"MyMIUser: User Act-Logger - Track Site-Wide Activity",,,,,,,,,
User,GAP-USER-007,"MyMIUser: User Authentication Workflow Check & Documentation",,,,,,,,,
Wallets,GAP-WALLETS-002,"MyMIWallets: Analyze all /Wallets/* Pages - Ensure all sections are working perfectly",,,,,,,,,
Codex,GAP-CODEX-003,"On/Off Control for all Features / Services",,,,,,,,,
Codex,GAP-CODEX-004,"Page-By-Page Error Checking",,,,,,,,,
ing,GAP-ING-001,"Parsing ChatGPT JSON Array Data into CI4 / MySQL ",,,,,,,,,
Cron,GAP-CRON-001,"Publish cron manifest and idempotency/telemetry for alerts, marketing, news pipelines",docs/operations/04-cron-automation.md:L1-L33,"app/Modules/APIs/Controllers/ManagementController.php; docs/operations/04-cron-automation.md; docs/ops/runbooks/marketing-cron-playbook.md; docs/gap-audit/gap_tracker.csv; docs/gap-audit/next-steps.md",Completed,P1,M,None,Codex,v1.0,"Added cron manifest (cadence/owners/endpoints), idempotent guards + logging for trade alerts and marketing digest, and refreshed playbook telemetry. How to test: curl -H ""X-Idempotency-Key=$(date +%s)"" ""${BASE_URL}/API/Management/processAllTradeAlerts?cronKey=${CRON_SHARED_KEY}&batch_size=50"" then curl -H ""X-Idempotency-Key=$(date +%s)-digest"" ""${BASE_URL}/API/Marketing/generateDailyContentDigest?cronKey=${CRON_SHARED_KEY}""; confirm bf_idempotency rows and log markers. Completed Date: 2026-01-01."
Security,GAP-SECURITY-001,"Remove vendored JS and enforce npm/Vite-built assets",docs/security/2025-10-remediation.md:L4-L13,"public/assets/js; public/assets/vendor",Gap,P1,M,None,Codex,v1.0,"Migrate scripts to Vite bundles and delete legacy webroot libs"
st,GAP-ST-001,"Retest User Registration / MyMIUser Library Integration for Management/Enhanced Control outside of myth/auth",,,,,,,,,
Codex,GAP-CODEX-005,"Review Brokerage Integrations + Automation",,,,,,,,,
Docs,GAP-DOCS-005,"Review Modules & align with /docs/*md files w/ sub-category directories",,,,,,,,,
rday,GAP-RDAY-001,"Saturday Coffee & Stocks | Daily Broadcast Setup/Completion",,,,,,,,,
rday,GAP-RDAY-002,"Saturday Coffee & Stocks Dashboard Integration",,,,,,,,,
ndary,GAP-NDARY-001,"Secondary Website Restructure to acknowledge On/Off",,,,,,,,,
Marketing,GAP-MARKETING-017,"Streaming to X Spaces using Prism + VB Audio?",,,,,,,,,
News,GAP-NEWS-002,"This Week's Highlights - Videos (Mon - Fri)",,,,,,,,,
Alerts,GAP-ALERTS-002,"TOS Weekly Watchlist Integration",,,,,,,,,
User,GAP-USER-008,"User Email subscribe on Register Failure/Errors",,,,,,,,,
or,GAP-OR-001,"Vendor Library updates & how to manage new errors",,,,,,,,,
ly,GAP-LY-001,"Weekly Social Media Cross Promotions",,,,,,,,,
elisting,GAP-ELISTING-001,"Whitelisting Email Origination",,,,,,,,,
News,GAP-NEWS-003,"Why isn't News Hitting Discord",,,,,,,,,
